id,date,amount,card,id_merchant
314,05-01-2018 10:42,5.31,3.56107E+15,8
77,05-01-2018 16:58,4.57,5.13584E+15,91
1570,06-01-2018 01:43,10.04,5.50071E+15,34
2439,06-01-2018 02:16,1.33,4.86676E+18,127
2258,06-01-2018 04:43,5.31,5.29719E+15,42
1867,06-01-2018 05:13,10.82,4.86676E+18,70
846,06-01-2018 06:46,2.7,2.13194E+14,146
2890,06-01-2018 07:00,18.35,3.56195E+15,76
3291,06-01-2018 08:42,18.72,3.53565E+15,76
2557,06-01-2018 08:49,16.28,4.26849E+15,101
325,06-01-2018 23:33,7.6,3.76028E+14,141
2663,07-01-2018 00:30,17.84,4.15984E+18,112
3457,07-01-2018 01:10,175,3.4412E+14,12
447,07-01-2018 07:33,7.07,4.83448E+15,14
1249,07-01-2018 10:31,10.9,5.29719E+15,135
2108,07-01-2018 14:57,2.93,4.31965E+12,137
3028,07-01-2018 15:10,17.29,4.86676E+18,126
149,07-01-2018 16:50,5.83,4.15984E+18,81
2304,07-01-2018 20:35,2.5,6.01199E+15,104
1384,08-01-2018 00:26,10.04,3.58135E+15,64
1371,08-01-2018 01:12,10.4,5.50071E+15,121
1291,08-01-2018 02:34,1029,3.58135E+15,145
1065,08-01-2018 04:15,11.49,4.74104E+12,130
1340,08-01-2018 04:29,10.64,5.01809E+11,116
1544,08-01-2018 06:27,10.48,4.02791E+15,68
522,08-01-2018 10:48,11.06,4.7432E+18,113
812,08-01-2018 11:15,333,3.4412E+14,95
1640,08-01-2018 11:21,11.98,5.50071E+15,133
2550,08-01-2018 11:35,15.84,4.15072E+15,15
2095,08-01-2018 14:06,3.52,1.80099E+14,95
3130,08-01-2018 16:38,21.27,5.29719E+15,106
3085,08-01-2018 19:31,17.43,5.84227E+11,19
1816,08-01-2018 20:10,11.55,3.4412E+14,102
3480,08-01-2018 21:44,1.68,4.6819E+12,78
1188,08-01-2018 21:44,10.64,5.17595E+15,84
379,09-01-2018 11:14,7.07,5.01809E+11,136
687,09-01-2018 21:06,2.7,4.50641E+15,67
2558,09-01-2018 21:43,16.37,4.6819E+12,64
754,10-01-2018 00:25,1.39,3.72415E+14,50
608,10-01-2018 03:17,0.87,5.03843E+11,129
2818,10-01-2018 03:24,16.64,3.56195E+15,65
865,10-01-2018 03:55,2.3,4.15072E+15,19
998,10-01-2018 10:07,10.91,6.75911E+11,78
1436,10-01-2018 13:41,11.5,3.51711E+15,49
1938,10-01-2018 14:50,5.64,5.36178E+15,44
602,10-01-2018 15:56,1.22,5.03843E+11,27
3289,10-01-2018 19:53,18.41,4.15984E+18,23
1361,10-01-2018 23:03,10.7,3.53565E+15,70
496,11-01-2018 00:39,3.23,5.03843E+11,68
156,11-01-2018 09:27,5.55,6.01199E+15,107
315,11-01-2018 09:38,7.94,5.13584E+15,146
3498,11-01-2018 09:58,1.62,5.50071E+15,149
3331,11-01-2018 10:51,1.24,3.00633E+13,7
2128,11-01-2018 12:46,3.97,4.83448E+15,44
2188,11-01-2018 13:20,229,5.5706E+15,115
1716,11-01-2018 16:18,10.27,5.36178E+15,46
2146,11-01-2018 19:36,1.72,4.76105E+18,99
2779,11-01-2018 22:55,19.5,4.26849E+15,8
1048,12-01-2018 02:18,11.52,3.5822E+15,2
2170,12-01-2018 02:48,1.84,3.0143E+13,2
2025,12-01-2018 04:33,5.32,4.18816E+15,10
451,12-01-2018 06:34,6.19,3.0182E+13,40
444,12-01-2018 13:30,5.92,4.50641E+15,38
416,12-01-2018 13:59,4.45,5.01809E+11,85
291,12-01-2018 16:29,4.69,4.26849E+15,144
3373,12-01-2018 18:04,1.88,4.6819E+12,44
270,12-01-2018 22:14,6.4,4.27647E+12,112
1937,12-01-2018 23:38,1.1,4.50641E+15,64
2835,13-01-2018 02:02,17.12,3.76028E+14,2
3175,13-01-2018 03:06,16.27,4.26849E+15,24
450,13-01-2018 03:20,4.89,2.13194E+14,58
2222,13-01-2018 04:49,3.63,4.50641E+15,53
2755,13-01-2018 06:07,19.24,4.96292E+18,32
582,13-01-2018 14:36,1.35,4.15072E+15,102
1546,13-01-2018 15:22,10.15,4.71177E+15,108
718,13-01-2018 18:34,2.22,4.26369E+15,9
3445,13-01-2018 22:18,2.11,3.0143E+13,3
2386,13-01-2018 22:26,3.79,5.50071E+15,106
2843,14-01-2018 03:20,14.69,5.84227E+11,133
3023,14-01-2018 05:02,17.84,3.72415E+14,52
2879,14-01-2018 06:19,21.11,3.53565E+15,74
830,14-01-2018 07:06,3.15,5.84227E+11,96
2521,14-01-2018 07:33,15.21,4.74104E+12,21
1482,14-01-2018 07:50,10.23,3.76028E+14,38
1916,14-01-2018 10:04,12.33,4.16531E+18,55
1560,14-01-2018 13:30,10.94,3.51711E+15,19
3159,14-01-2018 15:03,16.67,2.13194E+14,30
604,14-01-2018 15:31,1.42,3.76028E+14,97
970,14-01-2018 17:29,10.31,4.50641E+15,40
3359,15-01-2018 03:37,1.47,4.83448E+15,139
2787,15-01-2018 06:23,15.87,4.53999E+15,70
2622,15-01-2018 10:27,15.51,4.76105E+18,8
1382,15-01-2018 11:52,11.67,4.15984E+18,139
3105,15-01-2018 11:55,17.16,3.56195E+15,101
2581,15-01-2018 19:37,18.61,3.56195E+15,74
591,15-01-2018 20:53,2.95,4.6819E+12,98
2714,16-01-2018 00:57,15.33,4.50641E+15,149
3333,16-01-2018 02:26,1.65,3.72415E+14,31
3068,16-01-2018 03:22,13.29,5.29719E+15,12
3065,16-01-2018 04:12,16.89,4.71177E+15,109
2655,16-01-2018 06:29,17.64,6.75911E+11,136
2866,16-01-2018 08:02,17.36,3.00783E+13,116
680,16-01-2018 13:48,1.84,4.26849E+15,144
1755,16-01-2018 13:51,13.52,4.15984E+18,54
753,16-01-2018 18:45,1.48,4.96292E+18,86
665,16-01-2018 19:19,2.55,3.4412E+14,99
3278,17-01-2018 00:03,18.05,4.2791E+18,133
651,17-01-2018 00:18,3.6,4.15984E+18,44
246,17-01-2018 00:22,5.41,4.7432E+18,105
2971,17-01-2018 02:02,15.18,2.13194E+14,75
2875,17-01-2018 04:56,16.46,3.76028E+14,42
758,17-01-2018 06:36,1.02,1.80099E+14,147
1551,17-01-2018 06:59,10,4.58696E+18,149
1889,17-01-2018 07:31,12.67,4.498E+12,89
1593,17-01-2018 07:56,11.91,4.6819E+12,2
30,17-01-2018 09:09,3.82,4.71177E+15,111
733,17-01-2018 09:25,2.85,3.56195E+15,18
878,17-01-2018 11:09,12.27,3.76028E+14,146
3340,17-01-2018 15:02,1.72,4.498E+12,115
105,17-01-2018 16:57,1.25,4.26849E+15,65
840,17-01-2018 19:16,2.11,4.26849E+15,132
2314,17-01-2018 20:06,2.69,3.56107E+15,29
3466,18-01-2018 03:12,3.44,3.4412E+14,5
2633,18-01-2018 08:18,17.54,4.16531E+18,104
2838,18-01-2018 08:58,17.53,1.80099E+14,137
3406,18-01-2018 11:17,1.24,3.0182E+13,116
2662,18-01-2018 12:41,15.86,4.31965E+12,43
2119,18-01-2018 14:13,2.61,3.76028E+14,26
3095,18-01-2018 14:39,19,5.0188E+11,15
1303,18-01-2018 18:49,10.19,4.15984E+18,116
2882,19-01-2018 01:11,16.38,5.50071E+15,82
784,19-01-2018 01:34,2.59,4.72378E+18,47
1410,19-01-2018 03:01,10.39,4.498E+12,132
2956,19-01-2018 05:03,17.53,4.96292E+18,82
3381,19-01-2018 07:08,2.51,4.6819E+12,8
2253,19-01-2018 10:15,3.93,4.76105E+18,13
2015,19-01-2018 11:41,3.27,2.13194E+14,124
1183,19-01-2018 12:28,10.4,1.80099E+14,60
917,19-01-2018 13:15,10.16,3.53565E+15,81
679,19-01-2018 14:23,2.47,4.15072E+15,131
458,19-01-2018 17:44,5.96,6.50024E+15,138
1245,19-01-2018 20:12,11.58,4.86676E+18,132
2238,20-01-2018 01:13,3.7,5.36178E+15,107
2411,20-01-2018 02:23,2.17,4.26369E+15,109
1954,20-01-2018 03:18,3.38,3.00633E+13,93
2791,20-01-2018 03:19,17.64,3.00783E+13,37
302,20-01-2018 04:32,4.51,5.01809E+11,83
1266,20-01-2018 07:47,10.58,3.0143E+13,34
1456,20-01-2018 08:35,11.96,5.0188E+11,121
256,20-01-2018 09:56,9.81,4.15984E+18,69
2445,20-01-2018 10:50,2.17,4.71177E+15,113
729,20-01-2018 13:44,1.83,5.0188E+11,119
1615,20-01-2018 16:31,10.51,5.84227E+11,10
1320,20-01-2018 17:30,13.84,4.50641E+15,109
193,20-01-2018 19:46,8.03,4.26369E+15,8
1037,20-01-2018 20:11,10.12,3.76028E+14,37
277,20-01-2018 21:29,4.87,1.80099E+14,113
2537,20-01-2018 22:58,16.44,6.50024E+15,18
1417,20-01-2018 23:29,10.58,4.72378E+18,110
870,21-01-2018 00:03,2.32,4.71177E+15,130
3006,21-01-2018 01:30,20.29,5.13584E+15,136
132,21-01-2018 02:01,8.61,5.17595E+15,37
2844,21-01-2018 05:38,16.29,3.51695E+15,106
494,21-01-2018 06:47,5.34,4.498E+12,85
1892,21-01-2018 13:18,10.38,4.50641E+15,15
227,21-01-2018 15:37,5.51,2.13194E+14,21
322,21-01-2018 16:05,2.88,5.17595E+15,75
1492,21-01-2018 17:27,10.28,5.01809E+11,148
1338,21-01-2018 20:28,10.24,4.72378E+18,63
565,21-01-2018 23:04,2.22,3.72415E+14,149
1704,22-01-2018 02:08,10.38,4.6819E+12,98
1442,22-01-2018 08:07,1131,5.5706E+15,144
2044,22-01-2018 11:52,1.67,1.80099E+14,30
1057,22-01-2018 14:56,10.75,5.5706E+15,117
1935,22-01-2018 16:26,2.35,4.72378E+18,96
1364,22-01-2018 22:48,11.63,6.01199E+15,150
1509,23-01-2018 01:51,11.3,4.50641E+15,134
3499,23-01-2018 06:23,2.67,3.51695E+15,51
2667,23-01-2018 06:29,1678,5.0188E+11,92
1379,23-01-2018 08:07,10.47,4.86676E+18,7
538,23-01-2018 08:18,1.48,5.50071E+15,35
2070,23-01-2018 10:30,4.34,4.02791E+15,110
110,23-01-2018 12:06,6.38,5.13584E+15,94
2319,23-01-2018 16:13,5.58,5.84227E+11,33
392,23-01-2018 18:14,7.15,3.00633E+13,88
318,24-01-2018 01:31,3.54,3.53565E+15,81
2212,24-01-2018 03:43,2.78,3.58135E+15,68
263,24-01-2018 07:14,5.56,5.50071E+15,36
1463,24-01-2018 07:55,10.96,6.50024E+15,107
168,24-01-2018 08:28,5,4.26849E+15,141
3196,24-01-2018 09:31,15.22,3.76028E+14,83
942,24-01-2018 10:54,10.69,3.00633E+13,2
3093,24-01-2018 12:41,17.21,4.26849E+15,133
1231,24-01-2018 13:06,13.39,3.0182E+13,91
2913,24-01-2018 13:17,1691,4.76105E+18,14
3144,24-01-2018 14:45,18.15,4.6819E+12,27
2973,24-01-2018 16:42,18.59,3.56195E+15,90
2265,24-01-2018 23:15,5.78,4.53999E+15,11
148,25-01-2018 00:52,8.7,5.17595E+15,132
273,25-01-2018 07:41,5.74,4.71177E+15,20
1502,25-01-2018 08:58,11.35,3.76028E+14,141
178,25-01-2018 11:54,6.4,5.50071E+15,72
1841,25-01-2018 14:38,10.17,4.16531E+18,24
1252,25-01-2018 16:52,10.1,3.0182E+13,80
2880,26-01-2018 05:10,16.54,5.84227E+11,13
1758,26-01-2018 06:11,10.12,3.56107E+15,124
938,26-01-2018 09:30,10.76,4.498E+12,30
969,26-01-2018 11:32,11.39,6.75911E+11,67
1730,26-01-2018 13:10,11.95,2.13194E+14,11
2478,26-01-2018 14:06,17.58,5.36178E+15,106
299,26-01-2018 20:32,7,4.02791E+15,78
2454,26-01-2018 21:32,17.08,4.7432E+18,81
103,27-01-2018 00:11,5.87,3.4412E+14,64
3261,27-01-2018 00:56,16.14,4.72378E+18,94
2636,27-01-2018 04:07,18.58,4.53999E+15,49
3452,27-01-2018 08:24,3.08,3.5822E+15,43
3284,27-01-2018 08:36,15.15,6.50024E+15,71
639,27-01-2018 14:00,1.88,6.50024E+15,35
2382,27-01-2018 18:02,1.83,4.26849E+15,85
1495,27-01-2018 19:10,11.93,2.13194E+14,45
142,27-01-2018 23:35,6.12,4.27647E+12,135
1374,28-01-2018 05:11,13.03,4.26849E+15,109
2978,28-01-2018 14:38,19.93,3.51711E+15,71
911,28-01-2018 14:45,10.71,5.13584E+15,77
2686,28-01-2018 17:01,17.62,5.5706E+15,82
3280,28-01-2018 18:51,18.64,6.50024E+15,147
744,28-01-2018 19:30,0.72,6.01199E+15,36
231,28-01-2018 20:44,6.52,4.2791E+18,44
2660,28-01-2018 21:41,18.8,4.02791E+15,105
3168,29-01-2018 02:00,18.65,4.498E+12,90
2852,29-01-2018 02:49,18.19,4.72378E+18,40
549,29-01-2018 02:51,3.68,3.56107E+15,140
2115,29-01-2018 05:15,3.54,4.96292E+18,45
1914,29-01-2018 06:32,10.24,3.51711E+15,49
536,29-01-2018 07:01,2.65,4.15072E+15,5
681,29-01-2018 07:09,2.46,4.72378E+18,138
1798,29-01-2018 11:06,14.19,4.16531E+18,59
356,29-01-2018 11:52,5.14,4.76105E+18,131
2014,29-01-2018 12:54,3.93,4.7432E+18,142
2029,29-01-2018 13:38,2.06,3.56107E+15,22
3365,29-01-2018 14:09,2.37,5.13584E+15,92
2473,29-01-2018 17:25,17.99,3.56107E+15,34
1020,29-01-2018 19:47,10.25,5.17595E+15,91
2076,29-01-2018 22:49,5.33,4.50641E+15,45
2664,29-01-2018 23:55,16.73,5.84227E+11,10
1486,30-01-2018 02:32,10.15,3.56107E+15,87
2177,30-01-2018 04:24,2.72,3.0182E+13,133
2782,30-01-2018 04:52,17.05,5.5706E+15,147
2646,30-01-2018 06:49,15.97,4.2791E+18,82
1027,30-01-2018 09:15,10.53,3.56107E+15,79
2047,30-01-2018 14:21,2.86,3.53565E+15,32
2132,30-01-2018 14:21,4.15,4.18816E+15,85
3205,30-01-2018 16:34,16.91,3.51711E+15,112
26,30-01-2018 16:48,4.04,3.76028E+14,74
1243,30-01-2018 17:53,10.85,4.2791E+18,64
1415,30-01-2018 18:31,1177,4.31965E+12,64
2186,30-01-2018 22:14,3.65,4.15984E+18,102
3126,31-01-2018 00:51,16.43,4.18816E+15,48
3310,31-01-2018 01:24,15.99,4.15984E+18,105
1080,31-01-2018 02:09,10.09,4.58696E+18,118
647,31-01-2018 05:46,2.75,4.31965E+12,81
1729,31-01-2018 06:01,10.28,4.50641E+15,26
1545,31-01-2018 09:42,10.49,3.51711E+15,77
2219,31-01-2018 10:34,4.17,5.84227E+11,78
2954,31-01-2018 11:06,18.78,4.71177E+15,48
777,31-01-2018 13:17,0.58,4.74104E+12,63
1405,31-01-2018 18:25,11.25,4.2791E+18,127
3286,31-01-2018 23:44,16.02,4.50641E+15,44
1657,01-02-2018 08:49,10.26,4.72378E+18,115
45,01-02-2018 09:29,6.3,4.53999E+15,116
1024,01-02-2018 11:05,10.49,4.74104E+12,138
899,01-02-2018 11:15,10.65,4.2791E+18,65
1279,01-02-2018 18:37,10.27,4.15072E+15,145
989,01-02-2018 20:33,11.62,3.5822E+15,4
1516,01-02-2018 20:44,10.24,3.51711E+15,51
2150,01-02-2018 21:52,1.54,4.7432E+18,43
2793,02-02-2018 03:11,15.95,4.83448E+15,27
2776,02-02-2018 10:56,15.52,4.64401E+18,95
1360,02-02-2018 11:31,10.75,3.72415E+14,135
2638,02-02-2018 16:57,15.27,4.6819E+12,53
3491,02-02-2018 17:43,2.17,5.50071E+15,64
1752,02-02-2018 17:56,10.15,5.01809E+11,127
2456,02-02-2018 18:46,18.64,4.74104E+12,148
13,02-02-2018 21:41,4.29,6.50024E+15,148
248,03-02-2018 03:04,5.24,3.5822E+15,83
1715,03-02-2018 06:57,12.39,5.5706E+15,69
2245,03-02-2018 07:45,4.53,5.5706E+15,80
1701,03-02-2018 12:53,10.23,4.76105E+18,95
488,03-02-2018 14:33,7.05,3.0182E+13,3
638,03-02-2018 15:45,1.17,3.51695E+15,19
2719,03-02-2018 16:27,15.98,4.72378E+18,114
3181,03-02-2018 16:34,18.53,3.56107E+15,86
3395,03-02-2018 18:05,1.41,4.86676E+18,65
1435,03-02-2018 18:48,13.01,3.0182E+13,75
3216,03-02-2018 19:32,17.94,3.51695E+15,104
2389,04-02-2018 02:22,4.79,3.00633E+13,27
11,04-02-2018 04:00,6.9,6.50024E+15,125
2011,04-02-2018 09:22,2.41,2.13194E+14,94
1996,04-02-2018 16:13,2.92,5.36178E+15,4
1981,04-02-2018 18:44,2.68,4.74104E+12,104
810,04-02-2018 19:02,0.51,3.56195E+15,75
3281,04-02-2018 20:48,18.11,4.53999E+15,98
2256,04-02-2018 22:25,5.94,4.26849E+15,43
1505,05-02-2018 03:47,10.27,4.26849E+15,17
2688,05-02-2018 08:37,17.85,1.80099E+14,1
3063,05-02-2018 09:39,15.73,5.03843E+11,75
2086,05-02-2018 15:54,1.52,3.00633E+13,145
1740,05-02-2018 17:32,10.58,3.0182E+13,39
3237,05-02-2018 17:36,17.7,3.53565E+15,50
607,05-02-2018 19:19,2.09,4.53999E+15,87
1270,05-02-2018 19:35,10.08,5.0188E+11,52
1281,05-02-2018 20:08,10.92,4.02791E+15,34
3297,05-02-2018 20:43,17.61,1.80099E+14,35
881,05-02-2018 21:59,10.81,3.72415E+14,65
1819,05-02-2018 23:22,10.96,4.15984E+18,67
1079,06-02-2018 04:34,10.86,4.58696E+18,132
3494,06-02-2018 10:55,2.49,4.76105E+18,100
372,06-02-2018 10:58,4.83,3.76028E+14,72
611,06-02-2018 18:29,2.53,3.56107E+15,102
1998,06-02-2018 20:53,4.58,1.80099E+14,9
1603,06-02-2018 22:44,10.32,3.0182E+13,45
2418,07-02-2018 00:20,5.97,3.72415E+14,104
2072,07-02-2018 01:36,5.64,4.76105E+18,63
230,07-02-2018 02:48,7.68,4.26369E+15,63
1115,07-02-2018 03:45,10.21,4.74104E+12,42
1473,07-02-2018 15:53,10.33,3.56107E+15,49
859,07-02-2018 23:35,2.87,5.01809E+11,70
205,08-02-2018 04:15,7.02,3.00633E+13,96
2878,08-02-2018 05:12,18.32,4.86676E+18,57
2085,08-02-2018 08:36,2.48,5.01809E+11,85
748,08-02-2018 10:27,3.48,4.96292E+18,139
3473,08-02-2018 11:06,2.45,5.36178E+15,127
3060,08-02-2018 12:15,15.39,6.75911E+11,135
364,08-02-2018 16:35,7.15,4.26849E+15,97
3102,08-02-2018 19:56,15.71,4.74104E+12,88
121,08-02-2018 21:10,5.52,5.84227E+11,124
1927,09-02-2018 00:54,1.72,4.58696E+18,3
3436,09-02-2018 07:38,1.16,5.03843E+11,12
2409,09-02-2018 11:38,445,3.51695E+15,112
657,09-02-2018 15:30,1.21,3.5822E+15,101
1265,09-02-2018 19:25,11.11,5.0188E+11,114
1142,10-02-2018 02:01,11.43,5.5706E+15,68
3133,10-02-2018 03:34,15.25,4.15072E+15,122
2665,10-02-2018 05:36,15.92,3.0143E+13,126
2629,10-02-2018 10:29,20.01,3.58135E+15,148
1386,10-02-2018 10:55,10.14,4.15072E+15,35
3313,10-02-2018 11:17,12.97,4.7432E+18,135
1556,10-02-2018 11:56,11.33,4.50641E+15,10
375,10-02-2018 12:04,7.39,4.26849E+15,105
3418,10-02-2018 13:26,1.66,4.27647E+12,72
3013,10-02-2018 16:22,17.3,5.5706E+15,150
2801,10-02-2018 16:43,15.67,3.51695E+15,25
1487,10-02-2018 18:53,10.74,2.13194E+14,105
206,11-02-2018 00:03,7.51,5.01809E+11,25
1419,11-02-2018 02:48,12.98,3.56195E+15,115
1446,11-02-2018 06:30,10.93,4.96292E+18,65
738,11-02-2018 08:25,1.26,3.5822E+15,38
2894,11-02-2018 14:38,15.76,4.72378E+18,111
556,11-02-2018 16:04,2.74,4.15984E+18,63
988,11-02-2018 17:50,11.46,4.02791E+15,131
1449,11-02-2018 21:30,10.77,5.84227E+11,142
2290,11-02-2018 22:11,4.56,4.76105E+18,127
2554,11-02-2018 22:51,16.2,4.53999E+15,118
127,12-02-2018 03:44,3.69,4.31965E+12,116
2126,12-02-2018 10:31,5.47,4.18816E+15,98
3029,12-02-2018 15:16,19.8,5.5706E+15,39
430,12-02-2018 15:26,7.73,4.76105E+18,150
1146,12-02-2018 15:41,10.08,2.13194E+14,49
3285,12-02-2018 16:21,16.93,4.71177E+15,84
1833,12-02-2018 21:29,10.39,4.18816E+15,66
3339,13-02-2018 01:08,1.5,5.17595E+15,137
3465,13-02-2018 01:31,2.19,4.53999E+15,1
1347,13-02-2018 01:43,10.36,3.76028E+14,51
3076,13-02-2018 03:52,17.21,5.29719E+15,35
2926,13-02-2018 09:24,19.2,3.0143E+13,40
1848,13-02-2018 10:34,10.44,3.51695E+15,130
1708,13-02-2018 10:35,10.78,5.0188E+11,101
3155,13-02-2018 13:36,19.37,4.15984E+18,149
664,13-02-2018 20:23,1.92,4.72378E+18,133
1047,14-02-2018 01:50,10.24,4.74104E+12,81
2657,14-02-2018 04:16,17.77,3.00783E+13,4
2967,14-02-2018 05:56,13.85,6.50024E+15,44
2563,14-02-2018 06:14,16.13,4.26849E+15,39
2035,14-02-2018 06:48,4.75,4.15984E+18,32
490,14-02-2018 08:06,6.17,4.15072E+15,97
3326,14-02-2018 09:36,2.73,4.498E+12,1
3282,14-02-2018 10:44,17.99,4.71177E+15,121
1836,14-02-2018 11:14,11.38,3.51711E+15,18
2060,14-02-2018 11:45,3.54,4.15984E+18,144
195,14-02-2018 14:16,7.64,4.72378E+18,135
3038,14-02-2018 14:49,17.36,4.498E+12,65
3016,14-02-2018 16:46,15.87,5.29719E+15,83
863,14-02-2018 17:22,2.91,4.18816E+15,20
371,14-02-2018 18:59,8.45,5.5706E+15,4
340,14-02-2018 21:50,5.62,3.56107E+15,51
1042,15-02-2018 04:55,10.29,6.01199E+15,129
1786,15-02-2018 10:22,10,3.0143E+13,147
1714,15-02-2018 10:24,10.3,5.50071E+15,92
1155,15-02-2018 14:12,10.92,4.72378E+18,11
891,15-02-2018 14:49,10.01,5.01809E+11,6
3220,15-02-2018 16:28,17.86,3.58135E+15,91
2891,15-02-2018 19:33,15.95,3.56107E+15,118
572,15-02-2018 21:35,3.46,3.53565E+15,139
670,16-02-2018 02:59,3.69,2.13194E+14,121
1322,16-02-2018 05:33,10.19,4.74104E+12,98
187,16-02-2018 06:17,5.83,3.0143E+13,40
1693,16-02-2018 08:32,10,5.84227E+11,42
2830,16-02-2018 10:00,15.95,3.0182E+13,98
727,16-02-2018 12:15,3.11,5.36178E+15,13
1469,16-02-2018 12:31,10.5,4.64401E+18,37
1029,16-02-2018 13:45,10.48,5.5706E+15,100
3138,16-02-2018 17:15,16.69,4.6819E+12,67
2543,16-02-2018 18:57,17.63,5.84227E+11,63
2995,16-02-2018 20:08,16.08,5.0188E+11,15
2401,16-02-2018 20:44,5.87,5.29719E+15,3
842,17-02-2018 00:18,2.71,3.76028E+14,122
2699,17-02-2018 01:27,1430,5.5706E+15,71
1648,17-02-2018 01:56,10.76,5.50071E+15,136
596,17-02-2018 02:02,2.57,4.96292E+18,47
2797,17-02-2018 05:49,17.93,3.76028E+14,30
750,17-02-2018 05:55,1.27,3.58135E+15,48
3057,17-02-2018 20:31,18.03,5.03843E+11,47
2670,17-02-2018 21:37,17.23,3.5822E+15,25
2344,18-02-2018 01:13,2.51,4.02791E+15,20
2640,18-02-2018 07:25,16.38,3.5822E+15,94
34,18-02-2018 08:19,8.02,5.17595E+15,67
2590,18-02-2018 08:54,18.3,3.4412E+14,69
2862,18-02-2018 09:33,18.06,5.5706E+15,88
3468,18-02-2018 10:09,1.63,4.96292E+18,36
1764,18-02-2018 11:36,10.99,3.0182E+13,79
2683,18-02-2018 13:04,14.91,5.01809E+11,103
1109,18-02-2018 17:26,11.73,4.96292E+18,2
501,18-02-2018 17:37,3.48,3.51695E+15,41
871,18-02-2018 17:48,1.7,1.80099E+14,63
1928,18-02-2018 18:28,4.26,4.16531E+18,94
2630,18-02-2018 20:43,16.7,4.31965E+12,137
1525,18-02-2018 22:19,10.31,4.6819E+12,75
2116,19-02-2018 00:17,3.64,3.76028E+14,89
1748,19-02-2018 03:12,11,5.84227E+11,148
1246,19-02-2018 08:50,12.17,4.76105E+18,149
310,19-02-2018 10:53,5.36,3.00633E+13,124
1679,19-02-2018 11:31,10.38,4.53999E+15,70
2785,19-02-2018 12:45,15.59,3.51711E+15,38
1480,19-02-2018 16:00,1072,3.51695E+15,49
2250,19-02-2018 16:15,5.42,4.64401E+18,134
1860,19-02-2018 17:56,12.1,4.498E+12,49
3098,19-02-2018 22:48,1839,3.4412E+14,95
1403,20-02-2018 02:58,10.9,5.03843E+11,90
2933,20-02-2018 06:24,18.96,4.16531E+18,65
347,20-02-2018 10:58,4.6,2.13194E+14,66
1978,20-02-2018 13:01,4.35,4.53999E+15,22
3166,20-02-2018 17:03,20.88,5.84227E+11,106
2174,20-02-2018 20:28,3.82,5.84227E+11,87
1082,20-02-2018 22:07,11.17,3.56195E+15,70
675,21-02-2018 00:25,2.81,4.50641E+15,105
3496,21-02-2018 00:28,2.08,4.96292E+18,85
1114,21-02-2018 03:19,10.71,3.0143E+13,118
3398,21-02-2018 05:56,2.88,3.0143E+13,9
2861,21-02-2018 08:21,18.98,4.26849E+15,23
864,21-02-2018 11:46,3.38,4.16531E+18,77
2469,21-02-2018 12:56,15.62,4.96292E+18,142
2934,21-02-2018 13:21,15.78,4.76105E+18,5
22,21-02-2018 17:59,3.8,4.26849E+15,120
3432,21-02-2018 20:23,2.31,3.4412E+14,90
